,v1,v2
2749,ham,said problem let know
2750,ham,ok tell half hr b come need prepare
2751,ham,play w computer aiyah tok lor
2752,ham,sat right okay thanks
2753,ham,derp worse dude always wants party dude files complaint three drug abusers lives
2754,ham,ok chinese food way get fat youre paying lipo
2755,ham,r outside already
2756,ham,good trip watch remember get back must decide easter
2757,ham,yo watching movie netflix
2758,ham,time prob
2759,ham,meh thgt clash really ah dun mind dun seen lost weight gee
2760,ham,dont thnk wrong calling us
2761,ham,sure night menu know noon menu
2762,ham,arr birthday today wish get oscar
2763,ham,say slowly god love amp need clean heart blood send ten special people amp c miracle tomorrow pls pls
2764,ham,open rebtel firefox loads put plus sign user name place show two numbers lower number number pick number pin display okay
2765,ham,picking various points
2766,spam,married local women looking discreet action real matches instantly phone text match msg cost p stop txt stop bcmsfwc n xx
2767,ham,wow v v impressed funs shopping
2768,ham,way ur home
2769,spam,burger king wanna play footy top stadium get burger king st sept go large super coca cola walk winner
2770,ham,problem talk later
2771,ham,ur sis
2772,ham,still customer place
2773,spam,come takes little time child afraid dark become teenager wants stay night
2774,ham,dude knw also telugu thts gud k gud nyt
2775,ham,confirm eating esplanade
2776,ham,send id password
2777,ham,kind took garage centre part exhaust needs replacing part ordered n taking fixed tomo morning
2778,spam,ur chance win cash every wk txt action ts cs www movietrivia tv custcare x p wk
2779,ham,well might come
2780,ham,long quit get like minutes day
2781,ham,likely called mittelschmertz google dont paracetamol dont worry go
2782,ham,well right im gonna get check todays steam sales pee text want come get
2783,ham,arrived see couple days lt
2784,ham,k wat tht incident
2785,ham,yeah get unlimited
2786,ham,cthen thk shd b enuff still got conclusion n contents pg n references ill b da contents pg n cover pg
2787,ham,forgot takes years shower sorry phone dead yet
2788,ham,got wat buy tell us need come
2789,ham,big god bring success
2790,spam,bin awarded play instant cash call claim every th player wins min optout
2791,ham,r stayin extra week back next wed rugby weekend hi c soon ham
2792,ham,campus library
2793,ham,affidavit says lt gt e twiggs st division g courtroom lt gt lt time gt ill double check text tomorrow
2794,ham,creep
2795,ham,tell friends plan valentines day lt url gt
2796,ham,get ten billion calls texts help god
2797,ham,purity friendship two smiling reading forwarded message smiling seeing name gud evng musthu
2798,ham,ive told ive returned order
2799,ham,house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office
2800,ham,depends going lor
2801,ham,smile right go world wonder smiling think crazy keep away grins
2802,spam,freemsg fav xmas tones reply real
2803,ham,lil fever fine
2804,ham,think still car
2805,ham,
2806,spam,december mobile mths entitled update latest colour camera mobile free call mobile update co free
2807,ham,yes princess want catch big strong hands
2808,ham,oh yeah forgot take shopping
2809,ham,mm asked call radio
2810,ham,thinkin someone good drugs
2811,ham,say slowly god love amp need clean heart blood send ten special people amp c miracle tomorrow pls pls
2812,ham,enjoy showers possessiveness poured ur loved ones bcoz world lies golden gift loved truly
2813,ham,alright youre sure let know youre leaving
2814,ham,lasting much hours might get lucky
2815,ham,genius whats brother pls send number skype
2816,spam,gr poly tones mobs direct rply poly title eg poly breathe titles crazyin sleepingwith finest ymca getzed co uk pobox w wq p
2817,ham,thk em find wtc far weiyi goin e rest dunno yet r ur goin dinner den might b able join
2818,ham,dont forget owns whos private property good boy always passionate kiss
2819,spam,interflora late order interflora flowers christmas call place order midnight tomorrow
2820,ham,oh god taken teeth paining
2821,spam,romcapspam everyone around responding well presence since warm outgoing bringing real breath sunshine
2822,ham,ask darren go n pick lor oso sian tmr haf meet lect
2823,ham,need buy lunch eat maggi mee
2824,spam,congratulations thanks good friend xmas prize claim easy call p per minute bt national rate
2825,ham,ok lor
2826,ham,oh right ok ill make sure loads work day got really nasty cough today dry n shot really help
2827,ham,wife knew time murder exactly
2828,spam,send logo ur lover names joined heart txt love name name mobno eg love adam eve yahoo pobox w wq txtno ads p
2829,ham,howz persons story
2830,ham,thanx sending home
2831,ham,normally hot mail com see
2832,spam,youve tkts euro cup final cash collect call b pobox ppm
2833,ham,sick still go shopping
2834,ham,ya well fine bbd pooja full pimples even become quite black ur rite cold wearing sweatter
2835,ham,nice nice working
2836,ham,reach home call
2837,ham,trying find chinese food place around
2838,ham,easy mate guess quick drink bit ambitious
2839,ham,babe miiiiiiissssssssss need crave geeee im sad without babe love
2840,ham,ok thanx
2841,ham,aathi dear
2842,ham,tunji hows queen wishing great day abiola
2843,ham,today iz yellow rose day love frndship give misscall amp send ur frndz amp see many miss calls get get missed marry ur lover
2844,ham,class hours sorry
2845,ham,wat time finish ur lect today
2846,spam,free message jamster get crazy frog sound poly text mad real text mad crazy sounds gbp week cs apply
2847,ham,sad story man last week bday wife didnt wish parents forgot n kids went work even colleagues wish entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went said mind go bedroom minute ok sed sexy mood came minuts latr wid cake n wife parents kidz friends n colleagues screaming surprise waiting sofa naked
2848,spam,chance reality fantasy show call p per min ntt ltd po box croydon cr wb national rate call
2849,ham,shes fine good hear dear happy new year oh
2850,ham,going wipro interview today
2851,ham,tall princess
2852,ham,doubt could handle times per night case
2853,ham,haha hope hear receipt sound gd luck
2854,ham,gonna death im gonna leave note says robs fault avenge
2855,ham,japanese proverb one none must indian version one let none leave finally kerala version one stop none make strike
2856,ham,today im workin free oso gee thgt workin ur frens shop
2857,ham,life face choices toss coin becoz settle question coin air know heart hoping gudni
2858,ham,know god created gap fingers one made comes amp fills gaps holding hand love
2859,ham,want kiss feel next
2860,ham,happy saying
2861,spam,adult content video shortly
2862,ham,ok would b lovely r sure think wot want drinkin dancin eatin cinema wot
2863,ham,im saying havent explicitly told nora know someone im probably gonna bother
2864,ham,says hi get ass back south tampa preferably kegger
2865,ham,smith waste da wanna gayle
2866,ham,mum ive sent many many messages since got want know actually getting enjoy rest day
2867,ham,aight tomorrow around lt gt
2868,ham,house maid murderer coz man murdered lt gt th january public holiday govt instituitions closed including post office understand
2869,spam,chance reality fantasy show call p per min ntt ltd po box croydon cr wb national rate call
2870,ham,actually first time went bed long spoke woke night
2871,ham,see
2872,ham,dont understand message
2873,ham,crucify c told earlier
2874,ham,idk keep saying youre since moved keep butting heads freedom vs responsibility im tired much shit deal im barely keeping together gets added
2875,ham,fuck cedar key fuck come anyway tho
2876,ham,twenty past five said train durham already coz reserved seat
2877,spam,hey boys want hot xxx pics sent direct ur phone txt porn hrs free p per day stop text stopbcm sf wc n xx
2878,ham,still painting ur wall
2879,spam,last chance claim ur worth discount vouchers today text shop savamob offers mobile cs savamob pobox uz sub
2880,ham,printer cool mean groovy wine groovying
2881,ham,hi harishs rent transfred ur acnt
2882,ham,anything lor coming
2883,ham,cbe really good nowadays lot shop showrooms city shaping good
2884,ham,still attending da talks
2885,ham,probs hon doinat mo
2886,ham,k ill take care
2887,ham,take didnt phone callon friday assume wont year
2888,ham,battery low babe
2889,ham,shuhui bought rons present swatch watch
2890,ham,yeah theres quite bit left ill swing tomorrow get
2891,ham,babe said hours almost internet
2892,ham,k ill sure get noon see whats
2893,ham,k k yesterday cbe
2894,ham,went ganesh dress shop
2895,spam,pdate double mins txts orange tariffs latest motorola sonyericsson nokia bluetooth free call mobileupd call optout yhl
2896,ham,collecting ur laptop going configure da settings izzit
2897,ham,r home come within min
2898,ham,aight latest probably closer jay tyler two trips
2899,ham,come aftr lt decimal gt cleaning house
2900,spam,ur cash balance currently pounds maximize ur cash send cash p msg cc po box tcr w
2901,ham,bill letters expecting one orange bill may still say orange
2902,ham,tell pa pain de
2903,ham,hi darlin hope nice night wish come cant wait see love fran ps want dirty anal sex want man gang bang
2904,ham,ha know either clever simple thing pears day perfect christmas
2905,ham,helloooo wake sweet morning welcomes enjoy day full joy gud mrng
2906,ham,alrite
2907,ham,must sit around wait summer days celebrate magical sight worlds dressed white oooooh let snow
2908,spam,urgent mobile number awarded prize guaranteed call land line claim valid hrs
2909,ham,guys go see movies side
2910,ham,sorry meeting ill call later
2911,ham,didnt tell im thinking plus hes going stop runs
2912,ham,kindly send one flat lt decimal gt today
2913,spam,sorry unsubscribe yet mob offer package min term weeks pls resubmit request expiry reply themob help info
2914,ham,nothing lor bit bored dun go home early sleep today
2915,ham,time tell friend around
2916,ham,yes fine love safe
2917,ham,thanks chikku gud nyt
2918,ham,xy ur car picking
2919,ham,thanx time spent geva bin mint ur baby want xxxx
2920,ham,yo way could pick something tonight
2921,ham,ive sent send
2922,ham,fine simply sitting
2923,ham,thts gods gift birds humans hav natural gift frm god
2924,ham,coming day class
2925,ham,im done studyn library
2926,ham,ok enjoy ur shows
2927,ham,anything
2928,ham,wuld without baby thought alone mite break wanna go crazy everyboy needs lady xxxxxxxx
2929,ham,wats dear sleeping ah
2930,ham,hi test lt gt rd
2931,ham,students solved cat question xam lt gt lt gt lt gt tell answer r brilliant thing got answr
2932,ham,yo know anyone lt gt otherwise able buy liquor guy flaked right dont get hold somebody loko night
2933,ham,yup n fren lor im meeting fren
2934,ham,yeah got one lined us
2935,ham,stop wondering wow ever going stop tming tm whenever want mine laughs
2936,ham,lol yep yesterday already got fireplace another icon sitting
2937,ham,hey ive booked pilates yoga lesson already haha
2938,ham,ok happen behave like
2939,spam,new message please call
2940,ham,supervisor find one lor thk students havent ask yet tell aft ask
2941,ham,hello news job making wait fifth week yeah im woozles weasels exeter still home
2942,ham,message responce happend
2943,spam,currently message awaiting collection collect message call
2944,ham,hey babe sorry didnt get sooner gary come fix cause thinks knows doesnt go far ptbo says cost lt gt bucks dont know might cheaper find someone dont second hand machines right let know want babe
2945,ham,make fucks sake x
2946,ham,leave always ignorant
2947,ham,nope ill b going sch fri quite early lor cos mys sis got paper da morn
2948,ham,bruce b downs amp fletcher
2949,ham,said would woke
2950,ham,hey free call
2951,ham,tell whos pls
2952,spam,urgent mobile awarded bonus caller prize final attempt contact call
2953,ham,think might give miss teaching til twelve lecture two damn working thing
2954,ham,id check theres like bowls worth left
2955,ham,yes many sweets
2956,ham,would im still cozy exhausted last night nobody went school work everything closed
2957,spam,secret admirer reveal thinks r special call opt reply reveal stop per msg recd cust care
2958,ham,buzzzz grins buzz ass buzz chest buzz cock keep phone vibrator feel shake
2959,ham,sir send group mail check
2960,ham,im da intro covers energy trends n pros n cons brief description nuclear fusion n oso brief history iter n jet got abt n half pages
2961,ham,none nowhere ikno doesdiscount shitinnit
2962,ham,dont know jabo abi
2963,spam,ever notice youre driving anyone going slower idiot everyone driving faster maniac
2964,ham,yet ya sapna aunty manege yday hogidhe chinnu full weak swalpa black agidhane
2965,ham,good baby
2966,ham,neft transaction reference number lt gt rs lt decimal gt credited beneficiary account lt gt lt time gt lt gt
2967,ham,mostly sports type lyk footbl crckt
2968,ham,head dey swell oh thanks making day
2969,ham,make fb list
2970,ham,height confidence aeronautics professors wer calld amp wer askd sit aeroplane aftr sat wer told dat plane ws made students dey hurried plane bt didnt move said made students
2971,ham,sary need tim bollox hurt lot tol
2972,ham,happy new year princess
2973,ham,ill text carlos let know hang
2974,ham,dont worry easy ingredients
2975,ham,love little pocy bell sorry love
2976,ham,ok omw castor
2977,ham,yar lor keep raining non stop wan go elsewhere
2978,spam,xmas offer latest motorola sonyericsson nokia free bluetooth dvd double mins txt orange call mobileupd call optout qf
2979,ham,mean almost done done wif sleeping tot going take nap yup send liao im picking ard smth lor
2980,ham,wonders world th th ur style th ur smile th ur personality rd ur nature nd ur sms st ur lovely friendship good morning dear
2981,ham,tonight yeah id
2982,ham,eat fo lunch senor
2983,ham,said right giggle saw would possibly first person die nvq think much could
2984,ham,break time one come n get stuff fr
2985,spam,reply win weekly professional sport tiger woods play send stop end service
2986,ham,im see cant see maybe reboot ym seen buzz
2987,ham,still grinder
2988,spam,polyphonic tone ur mob every week txt pt st tone free get txtin tell ur friends p tone reply hl info
2989,ham,love isnt decision feeling could decide love life would much simpler less magical
2990,spam,hot live fantasies call p per min ntt ltd po box croydon cr wb national rate call
2991,ham,k didt see k
2992,ham,im list buyers
2993,ham,idea guess well work hour supposed leave since usual nobody interest figuring shit last second
2994,ham,mm entirely sure understood text hey ho weekend
2995,ham,released vday shirts put makes bottom half naked instead white underwear
2996,ham,know watching film computer
2997,ham,b thursday
2998,ham,oh phone phoned disconnected
2999,ham,id onluy matters getting offcampus
3000,spam,message free welcome new improved sex dogging club unsubscribe service reply stop msgs p
3001,ham,excellent ill see rileys plans
3002,ham,see half hour
3003,spam,youve tkts euro cup final cash collect call b pobox ppm
3004,ham,ew one
3005,ham,also hi wesley howve
3006,ham,ah see lingo let know wot earth finished making
3007,spam,loan purpose homeowners tenants welcome previously refused still help call free text back help
3008,spam,update mths half price orange line rental mins call mobileupd call optout j q
3009,ham,imagine life without see fast searching dont worry lm always disturb goodnoon
3010,ham,hm good morning headache anyone
3011,ham,yeah probs last night obviously catching speak soon
3012,spam,free unlimited hardcore porn direct mobile txt porn get free access hrs chrgd p per day txt stop exit msg free
3013,ham,might go sch yar e salon v boring
3014,ham,lt gt mins stop somewhere first
3015,ham,lt gt fast approaching wish happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendship mother father teachers childrens day amp happy birthday happy ganesh festival happy dasara happy diwali happy christmas lt gt good mornings afternoons evenings nights rememberi first wishing raj
3016,ham,one joys lifeis waking daywith thoughts somewheresomeone cares enough tosend warm morning greeting
3017,ham,didnt get second half message
3018,ham,wat time wan meet later
3019,ham,thank much selflessness love plenty
3020,ham,film ill call later
3021,ham,dare change ring
3022,ham,bad girl lady
3023,ham,love ya try budget money better babe gary would freak knew
3024,ham,part dont initiate dont understand
3025,ham,finished lunch already wake already
3026,ham,still game
3027,ham,got tallent wasting
3028,ham,record one night
3029,ham,also sir sent email log usc payment portal send another message explain things back home great weekend
3030,ham,gonna let know cos comes bak holiday day coming dont get text number
3031,ham,jokin lar depends phone father get lor
3032,ham,aight lemme know whats
3033,ham,get ready lt gt inches pleasure
3034,ham,raji pls favour pls convey birthday wishes nimya pls today birthday
3035,ham,ok feel like john lennon
3036,ham,cos darren say considering mah ask
3037,ham,bothering trust answers pls
3038,ham,wishing family merry x mas happy new year advance
3039,ham,one day crab running sea shore waves came n cleared footprints crab crab asked frnd r clearing beautiful footprints waves replied fox following ur footprints catch thats cleared frndsship never lets dwn gud nyt
3040,ham,aight time want come
3041,ham,slaaaaave must summon time dont wish come anymore
3042,ham,bill thats bad
3043,ham,let know changes next hrs even appendix age range however impossible chill let know hrs
3044,ham,hello yeah ive got bath need hair ill come im done yeah
3045,ham,hows weather
3046,ham,ok much though h friday cant wait dunno wot hell im gonna another weeks become slob oh wait already done
3047,ham,die e toot fringe
3048,ham,lol dont know awesome phone could click delete right want
3049,ham,ok
3050,ham,awesome question cute answer someone asked boy ur life smiled amp answered fine gudnite
3051,ham,please leave topic sorry telling
3052,ham,pls send correct name da
3053,ham,happened yo date
3054,spam,eastenders tv quiz flower dot compare violet e tulip f lily txt e f chance win cash wkent p
3055,ham,webpage available
3056,ham,woke yeesh late didnt fall asleep til lt gt
3057,spam,unsubscribed services get tons sexy babes hunks straight phone go http gotbabes co uk subscriptions
3058,ham,dear know lt gt th lt gt th birthday loving gopalettan planning give small gift day like participate welcome please contact admin team details
3059,ham,k k tomorrow onwards started ah
3060,ham,talking bout early morning almost noon
3061,ham,fine remember
3062,spam,hi babe jordan r im home abroad lonely text back wanna chat xxsp visionsms com text stop stopcost p
3063,ham,ok many buy
3064,ham,sounds good keep posted
3065,spam,get brand new mobile phone agent mob plus loads goodies info text mat
3066,ham,ok april cant wait
3067,ham,boy best get yo ass quick
3068,ham,ay wana meet sat wkg sat
3069,ham,im wait till bus pick
3070,ham,apart one told yesterday
3071,ham,ok lor buy wat
3072,ham,somebody go andros steal ice
3073,ham,know didt msg recently
3074,ham,take us shopping mark distract isaiah
3075,ham,mum hope great day hoping text meets well full life great day abiola
3076,ham,sense foot penis
3077,ham,okay thought expert
3078,ham,deep sigh miss really surprised havent gone net cafe yet get dont miss
3079,ham,thinl role like sachin standing others hit
3080,ham,great trip india bring light everyone project everyone lucky see smile bye abiola
3081,ham,importantly discuss
3082,ham,k k training process
3083,ham,ok lor ned go toa payoh return smth wan send wat
3084,ham,da car park
3085,ham,wish holding tightly making see important much mean much need life
3086,ham,asked hows anthony dad bf
3087,ham,wnevr wana fal luv vth books bed fals luv vth yen madodu nav pretsorginta nammanna pretsovru important alwa gud eveb
3088,ham,today sunday sunday holiday work
3089,ham,going take bath ill place key window
3090,spam,lord rings return king store reply lotr june chance win lotr soundtrack cds stdtxtrate reply stop end txts
3091,ham,dear take care reaching home love lot
3092,ham,staff science nus edu sg phyhcmk teaching pc
3093,ham,emigrated something ok maybe bit hopeful
3094,ham,olol printed forum post guy exact prob fixed gpu replacement hopefully dont ignore
3095,ham,walked moms right stagwood pass right winterstone left victors hill address lt gt
3096,ham,yo jp hungry like mofo
3097,ham,creepy crazy
3098,ham,ok din get ur msg
3099,ham,tessy pls favor pls convey birthday wishes nimya pls dnt forget today birthday shijas
3100,ham,pathaya enketa maraikara pa
3101,ham,even friend priest call
3102,ham,lousy run already come back half dead hee
3103,ham,thats said bad dat e gals know wat
3104,ham,remind hrs
3105,ham,hoping would send message rent due dont enough reserves completely gone loan need hoping could balance lt gt way could get till mid march hope pay back
3106,ham,hi happy new year dont mean intrude pls let know much tuition paid last semester much semester thanks
3107,ham,hello hun ru way im good dates guy met walkabout far meet soon hows everyone else
3108,ham,lol gonna last month cashed left lt gt case collecting week cause announced blog
3109,spam,good luck draw takes place th feb good luck removal send stop customer services
3110,ham,short cute good person
3111,ham,havent decided yet eh
3112,ham,wat time liao still got
3113,ham,yes watching footie worried going blow phil neville
3114,ham,wait inside da car park
3115,ham,uncle abbey happy new year abiola
3116,ham,free call pa
3117,ham,r saying order slippers cos pay returning
3118,ham,stop knowing well
3119,ham,good evening roger
3120,ham,small problem auction punj asking tiwary
3121,spam,free entry weekly comp chance win ipod txt pod get entry std txt rate cs apply details
3122,ham,telling tell one treat hi hi hi
3123,ham,uncles atlanta wish guys great semester
3124,spam,st wk free gr tones str wk txt nokia classic nokia tones hit polys nokia p poly p
3125,ham,coming pick
3126,ham,thats cool liked photos sexy
3127,ham,would fuckin believe didnt know thurs pre booked cancelled needs b sacked
3128,ham,haha better late ever way could swing
3129,ham,ok finish
3130,spam,lookatme thanks purchase video clip lookatme youve charged p think better send video mmsto
3131,ham,ive barred b q stores life twat orange dungerees came asked wanted decking got first punch
3132,ham,messages food
3133,ham,ok going sleep hope meet
3134,ham,wat makes people dearer de happiness dat feel meet de pain feel miss dem
3135,ham,let know details fri find cos im tom fri mentionned chinese thanks
3136,ham,youre right think
3137,ham,wat r
3138,ham,ur lecture
3139,spam,sexy sexy cum text im wet warm ready porn fun msg free recd msgs p inc vat cancel text stop
3140,ham,customer place call
3141,ham,planned yet going join company jan know happen
3142,ham,boy love grl hogolo boy gold chain kodstini grl agalla boy necklace madstini grl agalla boy hogli mutai eerulli kodthini grl love kano
3143,ham,haha heard text youre around
3144,ham,get tomorrow send
3145,ham,shit babe thasa bit messed yeh
3146,ham,oh thats late well good night give call tomorrow iam going go sleep night night
3147,ham,cheers tex mecause werebored yeah okden hunny r uin wk sat sound likeyour havin gr fun j keep updat countinlots loveme xxxxx
3148,ham,sorry meeting ill call later
3149,ham,yo howz girls never rang india l
3150,ham,yeah worse
3151,spam,hard live chat p min choose girl connect live call cheap chat uks biggest live service vu bcm wc n xx
3152,ham,tagged friends seemed count friends
3153,spam,heard call rude chat private line cum wan c pics gettin shagged text pix end send stop sam xxx
3154,ham,ok
3155,ham,long time remember today
3156,ham,havent shopping lor juz arrive
3157,ham,thank better work cause feel used otherwise
3158,ham,challenge know
3159,ham,much ur hdd casing cost
3160,ham,mystery solved opened email hes sent another batch isnt sweetie
3161,ham,cant describe lucky im actually awake noon
3162,spam,nd time tried contact prize claim call b cs stop sms ppm
3163,ham,today sorry day ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault im basically good
3164,ham,cheers card time year already
3165,spam,hot live fantasies call p per min ntt ltd po box croydon cr wb k
3166,ham,people see msgs think iam addicted msging wrong bcoz know iam addicted sweet friends bslvyl
3167,ham,ugh hopefully asus ppl dont randomly reformat
3168,ham,havent seen facebook huh lol
3169,ham,mah b ill pick tomorrow
3170,ham,still otside le come morrow maga
3171,ham,still plumbers tape wrench could borrow
3172,spam,dear voucher holder claim weeks offer pc please go http www e tlp co uk reward ts cs apply
3173,ham,vl bcum difficult
3174,spam,ur going bahamas callfreefone speak live operator claim either bahamas cruise cash opt txt x
3175,ham,havent still waitin usual come back sch oredi
3176,ham,meeting da call
3177,ham,k k watch films
3178,ham,cinema plus drink appeal tomo fr thriller director like mac
3179,ham,size elephant tablets shove um ur ass
3180,ham,many people seems special first sight remain special till last sight maintain till life ends take cr da
3181,ham,parents kidz friends n colleagues screaming surprise waiting sofa naked
3182,ham,dunno juz askin cos got card got salon called hair sense tot da one cut ur hair
3183,ham,good morning pookie pie lol hope didnt wake
3184,ham,maybe woke fucking wouldnt problem
3185,ham,happy birthday dear lots love rakhesh nri
3186,ham,howz persons story
3187,spam,nd time tried contact pound prize claim easy call p per min bt national rate
3188,ham,x lt gt going get
3189,ham,hi neva worry bout da truth coz truth lead ur heart least unique person like deserve sleep tight morning
3190,spam,ur awarded city break could win summer shopping spree every wk txt store skilgme tscs winawk age perwksub
3191,ham,ur paper today e morn aft
3192,ham,lick every drop ready use mouth well
3193,ham,expect whenever text hope goes well tomo
3194,ham,great p diddy neighbor comes toothpaste every morning
3195,ham,av new number wil use one ta
3196,ham,poking man everyday teach canada abi saying hi
3197,ham,lor change suntec wat time coming
3198,ham,de seeing online shop asked
3199,ham,curious cuz asked
3200,ham,nice nice working
3201,ham,okay lor wah like def wont let us go haha say terms conditions
3202,ham,haha yup hopefully lose kg mon hip hop go orchard weigh
3203,ham,shes good r working
3204,ham,oh yes ive little weather ive kind coccooning home
3205,ham,home also
3206,ham,phone weirdest auto correct
3207,ham,oops phone died didnt even know yeah like better
3208,ham,havent mus ask st wat meet lunch den n meet already lor wan go ask da ge st confirm w asap
3209,ham,said mind go bedroom minute ok sed sexy mood came minuts latr wid cake n wife
3210,ham,oh yeah hav great time newquay send postcard look girls im gone know im talkin bout xx
3211,ham,got divorce lol
3212,ham,whats ur pin
3213,ham,babe got enough money pick bread milk ill give back get home
3214,ham,want snow freezing windy
3215,spam,urgent trying contact todays draw shows prize guaranteed call land line claim valid hrs
3216,ham,come mahal bus stop lt decimal gt
3217,ham,know week im going tirunelvai da
3218,ham,baby promise treat well bet take good care
3219,ham,like hotel dusk game think solve puzzles area thing
3220,spam,thanks ringtone order reference number x mobile charged tone arrive please call customer services
3221,ham,hi love goes day fuck morning woke dropped cell way stairs seems alright phews miss
3222,ham,well must pain catch
3223,ham,sorry da thangam mistake
3224,ham,need coz never go
3225,ham,rose red red blood blood heart heart send tis ur friends including like get back r poor relation need support r frnd many luvs praying god marry try
3226,ham,wife knew time murder exactly
3227,spam,six chances win cash pounds txt csh send cost p day days tsandcs apply reply hl info
3228,spam,ur cash balance currently pounds maximize ur cash send collect p msg cc po box tcr w
3229,ham,feel like dick keep sleeping texts facebook messages sup town
3230,ham,plm come da way
3231,ham,guess wants alone time could show watch
3232,ham,height recycling read twice people spend time earning money money spent spending time good morning keep smiling
3233,ham,yup comin
3234,ham,yes princess toledo
3235,ham,aight text youre back mu ill swing need somebody get door
3236,ham,ron say fri leh n said ding tai feng cant make reservations said wait lor
3237,ham,good swimsuit allowed
3238,ham,okay soon best
3239,ham,cute thought friendship necessary share every secret ur close frnd
3240,ham,ok ive sent da latest version da project
3241,ham,good morning dear great amp successful day
3242,ham,pls accept one day begging change number
3243,ham,squeeeeeze christmas hug lik frndshp den hug back get r cute r luvd r lucky none people hate
3244,ham,ok anybody asks abt tel p
3245,ham,funny fact nobody teaches volcanoes erupt tsunamis arise hurricanes sway aroundn teaches hw choose wife natural disasters happens
3246,ham,gonna ring weekend wot
3247,ham,also track lighters find
3248,ham,sorry cant help
3249,ham,babe need advice
3250,ham,leave around four ok
3251,ham,come medical college pm forward da
3252,ham,k k good going
3253,ham,make lasagna vodka
3254,ham,hi kate give ring asap xxx
3255,ham,people tour thought sofa thing sent curious sugar
3256,ham,told going got drunk
3257,ham,fucking chickened messaged would late woould buzz didnt hear word
3258,spam,congratulations thanks good friend xmas prize claim easy call p per minute bt national rate
3259,ham,im always looking excuse city
3260,ham,yup im still coffee wif frens fren drove shell give lift
3261,ham,shore takin bus
3262,ham,gonna get deus ex
3263,ham,send email mind lt gt times per night
3264,spam,want new nokia colour phone deliveredtomorrow free minutes mobile free texts free camcorder reply call
3265,ham,tap spile seven pub gas st broad st canal ok
3266,ham,ok come n pick engin
3267,ham,never wanted tell im short edge late
3268,ham,raviyog peripherals bhayandar east
3269,ham,k actually guys meet sunoco howard right way
3270,spam,new voicemail please call
3271,ham,moon come color dreams stars make musical sms give warm peaceful sleep good night
3272,ham,finished eating got plate leftovers time
3273,ham,thanx lot
3274,ham,hurry home big butt hang last caller food done im starving dont ask cooked
3275,ham,lol right diet everyday cheat anyway im meant fatty
3276,ham,great day beautiful one
3277,ham,happened interview
3278,ham,solve case man found murdered lt decimal gt lt gt afternoon wife called police police questioned everyone wife sir sleeping murder took place cook cooking gardener picking vegetables house maid went post office children went play neighbour went marriage police arrested murderer immediately whos reply reason r brilliant
3279,ham,badrith chennai surely pick us competition
3280,ham,tot group mate lucky havent reply wat time need leave
3281,ham,hey around ive got enough half ten owe
3282,ham,hey tmr maybe meet yck
3283,ham,alrite sam nic checkin ur number b
3284,ham,making easy pay back lt gt yrs say pay back earlier get
3285,ham,worry im sure youll get
3286,ham,gas station like block away house youll drive right since armenia ends swann take howard
3287,spam,someone know asked dating service contact cant guess call revealed pobox ls hb p
3288,spam,camera awarded sipix digital camera call fromm landline delivery within days
3289,ham,tuition hm go one mind
3290,ham,im smoking people use wylie smokes much justify ruining shit
3291,ham,dear good morning feeling dear
3292,ham,little meds say take every hours pain back took another hope dont die
3293,ham,beautiful tomorrow never comes comes already today hunt beautiful tomorrow dont waste wonderful today goodmorning
3294,ham,dunno lei decide lor abt leona oops tot ben going n msg
3295,ham,hi moved pub would great c cud come
3296,spam,todays voda numbers ending selected receive award hava match please call quoting claim code standard rates app
3297,spam,message free welcome new improved sex dogging club unsubscribe service reply stop msgs p
3298,ham,honeybee said im sweetest world god laughed amp said wait havnt met person reading msg moral even god crack jokes gm gn ge gn
3299,ham,ever easier
3300,spam,rct thnq adrian text rgds vatian
3301,ham,stop calling everyone saying might cancer throat hurts talk cant answering everyones calls get one call im babysitting monday
3302,ham,itll tough ill
3303,ham,im gonnamissu much would say il send postcard buttheres aboutas much chance merememberin asthere ofsi breakin contract luv yaxx
3304,ham,ee msg na poortiyagi odalebeku hanumanji name hanuman bajarangabali maruti pavanaputra sankatmochan ramaduth mahaveer ee name lt gt janarige ivatte kalisidare next saturday olage ondu good news keluviri maretare inde dodda problum nalli siguviri idu matra lt gt true dont neglet
3305,ham,hi darlin finish pick meet text back number luv kate xxx
3306,ham,set place heart mind mind easily forgets heart always remember wish happy valentines day
3307,ham,im surprised still guess right lor
3308,ham,okie wan meet bishan cos bishan im driving today
3309,ham,oh ho first time use type words
3310,ham,hi darlin work get trouble ijust talked mum morning really good time last night im goin soon call
3311,ham,know serving mean
3312,ham,huh hyde park mel ah opps got confused anyway tts e best choice den juz take
3313,ham,oh gei happend tron maybe ill dl
3314,spam,free message activate free text messages replying message word free terms conditions visit www com
3315,ham,know girls always safe selfish know got pa thank good night
3316,ham,worries hope photo shoot went well spiffing fun workage
3317,ham,im freezing craving ice fml
3318,ham,kay since already
3319,ham,eh sorry leh din c ur msg sad already lar watching tv still office
3320,ham,yo im right yo work
3321,ham,ok darlin supose ok worry much film stuff mate babysit call xx
